,N_MLUNG_1,N_MLUNG_2,N_MLUNG_3,N_MLUNG_4,N_MLUNG_5,T_MLUNG_1,T_MLUNG_2,T_MLUNG_3,T_MLUNG_4,T_MLUNG_5,T_MLUNG_6,T_MLUNG_7
EAM275,-0.905269960808772,-1.8041130088767274,0.3262929727477143,-0.5490617899077662,-1.3876120738460613,1.2332736945018807,0.17685569232818588,0.15743624375881574,1.1585550542921166,0.4731409933579929,-0.08059071156288417,1.2010928940154966
EAM246,0.4726119485908574,-1.5078200379312665,-0.4542096354630827,1.2637554612789996,0.571797297313439,0.807362500529571,-1.4175239421602372,-1.6175321335701602,0.5540187914103345,0.7832679464766796,0.3874622624233567,0.15680954110150244
EAM250,0.40904550127074274,-0.49977483473039475,-0.5758704047288087,-0.9838342800045933,0.25889036314677955,0.7513483161465564,-0.9838342800045933,-0.9838342800045933,0.3158984155870642,2.0139239775583864,1.261875785768029,-0.9838342800045933
EAM252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAM305,-0.9792886119090342,-0.9900551790529775,-0.49359000811806797,0.37203791200999903,-1.6590097277731801,1.28026310252386,-0.6533756523225274,1.3657023380032738,1.2884195927844238,0.025998812705546857,-0.12244931003672965,0.5653467311853775
EAM303,1.0684537838681052,0.6960004771137813,1.4614031515767878,1.4791169418133605,0.6361074627955692,-0.7744666941791727,-0.7445294612557921,-1.1834883124009337,-0.6701964619122689,-0.1911358154881004,-0.7744574199434471,-1.0028076519878923
EAM300,0.7654097092191117,-0.5013274392245037,0.35174146837618125,2.877418060440734,-0.5013274392245037,-0.5013274392245037,-0.5013274392245037,-0.5013274392245037,-0.5013274392245037,0.01605027576000633,-0.5013274392245037,-0.5013274392245037
EAM299,0.542077763134141,1.0074662510118948,0.9577137767400362,1.725140354135148,0.8134529543448943,-0.35962711231186684,-0.9234528990708506,-1.5629750469001118,-0.6100870466345136,-0.07614477392851896,-1.0631335044139272,-0.4504307161063208
EAM298,1.695989589972327,0.18738238256555592,-0.049627263432711115,-2.491796832139998,0.8073959204401636,0.10606913169675421,-0.16713107103289118,-0.7270836849703167,-0.08135175146106904,0.2905639698422545,0.7015962928892808,-0.27200668436935665
EAM295,0.8651563339540103,-0.48939408636833515,2.7268532589426293,0.8125371844183696,-0.48939408636833515,-0.48939408636833515,-0.48939408636833515,-0.48939408636833515,-0.48939408636833515,-0.48939408636833515,-0.48939408636833515,-0.48939408636833515
EAM292,-0.28867513459481253,-0.28867513459481253,-0.28867513459481253,3.175426480542942,-0.28867513459481253,-0.28867513459481253,-0.28867513459481253,-0.28867513459481253,-0.28867513459481253,-0.28867513459481253,-0.28867513459481253,-0.28867513459481253
EAM282,0.6313651148843943,0.8974844237849673,0.9384326377768667,1.6776164278760823,0.6222120789911171,-0.5386605705239907,0.20680691496955958,-1.3596526245134621,-1.0549014128058907,0.116855494802974,-0.8227413097545393,-1.3148171754880784
EAM281,1.1442574377993462,0.48272140579197204,0.5394111082515264,1.1112274871927459,1.1313734145130845,-0.24815409699237984,0.36910774590402057,-1.2966793375253134,-1.3259612086304562,0.3880823983801522,-0.8089604923980643,-1.4864258622866362
EAM280,-0.08397625924391797,0.6125271703997727,0.6411790029588621,2.093940013043821,0.39933491629232626,0.14410740783831963,-0.48792939854741607,-1.0860364032184393,-0.19217462693416976,0.6660608575496522,-1.5531366734909866,-1.1538960066478643
EAM279,1.254691144699444,0.7858072980986893,-0.4793910476450282,1.8803949668859963,0.8118126206832644,-0.0302082030022915,-0.09443346938541751,-1.2221188214621963,-0.06961020691832054,-0.6685206664419718,-1.280827807297077,-0.8875958082150983
EAM278,-0.28757735324684286,-0.08368021100350259,1.608295347539405,1.1355011255860623,-0.33700696348765125,0.6978019269036959,-0.3187180076985527,-1.8839066159737854,0.37650946033843236,0.947174310568578,-0.8157327386698927,-1.038660280855942
EAM277,0.8656495409447698,0.9308956440012793,-0.2804272954667019,-0.01636845953642838,-1.5935478198081872,0.7696592008459245,0.9896512970155181,-0.9311803128627797,-0.21723080821301294,1.4289522840870996,-1.3879030342583496,-0.5581502367491227
EAM276,1.1919907072965241,-0.05105522332077758,0.8508697171124461,-1.2140979881729816,1.212056647895587,0.1701913165312331,0.19468739985996056,-1.4048547221796615,-0.37680101226661117,1.2547944954052803,-0.4229266159813402,-1.4048547221796615
EAM272,0.8847052798372099,0.23212276611577334,-1.4458879589844105,1.3084122167789045,0.9503326853654498,-0.03202754113538835,0.5528767106350484,-1.9561410369664736,0.41916087187125806,-0.4746023571664588,0.4236727560013213,-0.8626243923521759
EAM271,0.7079580160541834,1.2032234555907644,0.9028377069206942,1.7468861693491657,0.3612722083785751,-0.5445634408064142,-1.2779434695143304,-0.16157967746444535,-0.03671470997215894,-1.268586663164781,-0.5385944436523897,-1.094195151718837
EAM268,0.3312738621199417,0.7142370157870119,-1.0217305009651199,1.3206366278031614,1.4008953999817768,0.3461365977085735,0.43630386027960416,-1.8500802977714979,0.003798254650439667,-0.02047754681099639,-0.3221910792602115,-1.3388021935225867
EAM264,0.569341635056594,1.285216343766984,0.4626715625666353,1.6678063370976375,1.1256853242431133,-0.037492555108506014,-1.2774728866528935,-0.9418177252178219,-0.36295479850564666,-0.9038905883325032,-0.9214318891419643,-0.6656607597715944
EAM263,0.7054548642732998,0.9846815395231668,1.1960562652106534,1.5543993738369648,0.8459296036016611,-0.14454983200227475,-1.0060840587698956,-0.907884264579032,-0.6388618864313217,-0.46843687249144106,-1.4044492157708919,-0.7162555164009081
EAM262,0.1722380659127776,0.8915029617374094,0.7424218456645075,2.0182456796019013,0.7156474475600227,-0.2382498955589463,-0.40111428166196944,-1.2357150462443853,-0.3404362078512136,0.0632393328010249,-1.5961396361124576,-0.791640265848694
